ID,year,mcp_fit_well
7C,7C-2022-2023,Y
7E,7E-2020-2021,Y
7E,7E-2021-2022,Y
7E,7E-2022-2023,Y
7H,7H-2020-2021,Y
7H,7H-2021-2022,N
7J,7J-2019-2020,Y
7J,7J-2020-2021,Y
7J,7J-2021-2022,Y
7K,7K-2020-2021,Y
7K,7K-2021-2022,Y
7L,7L-2021-2022,Y
7L,7L-2022-2023,Y
7M,7M-2021-2022,N
7M,7M-2022-2023,Y
7N,7N-2020-2021,Y
7N,7N-2021-2022,Y
7N,7N-2022-2023,Y
7P,7P-2021-2022,Y
7P,7P-2022-2023,Y
7R,7R-2020-2021,N
7R,7R-2021-2022,Y
7T,7T-2020-2021,Y
7T,7T-2021-2022,Y
7T,7T-2022-2023,Y
8A,8A-2020-2021,Y
8A,8A-2021-2022,Y
8C,8C-2020-2021,Y
8C,8C-2021-2022,Y
8C,8C-2022-2023,Y
8E,8E-2020-2021,Y
8E_2nd,8E_2nd-2021-2022,Y
8E_2nd,8E_2nd-2022-2023,Y
8H,8H-2020-2021,Y
8L,8L-2021-2022,Y
8L,8L-2022-2023,Y
8M,8M-2021-2022,Y
8M,8M-2022-2023,Y
8N,8N-2021-2022,Y
8P,8P-2021-2022,Y
8P,8P-2022-2023,N
8R,8R-2020-2021,Y
8R,8R-2021-2022,Y
8T,8T-2020-2021,Y
8T,8T-2021-2022,Y
9A,9A-2019-2020,Y
9A,9A-2020-2021,Y
9C,9C-2021-2022,Y
9E,9E-2020-2021,Y
9H,9H-2020-2021,Y
9H_2nd,9H_2nd-2021-2022,Y
9H_2nd,9H_2nd-2022-2023,Y
9J (first deployment),9J (first deployment)-2019-2020,Y
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2020-2021,Y
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2021-2022,Y
9L,9L-2021-2022,Y
9L,9L-2022-2023,Y
9M,9M-2021-2022,Y
9N,9N-2021-2022,Y
9N,9N-2022-2023,Y
9P,9P-2021-2022,Y
9R,9R-2020-2021,Y
9R,9R-2021-2022,Y
9R,9R-2022-2023,Y
